frame,time_sec,L_x,L_y,L_w,L_h,R_x,R_y,R_w,R_h
98,3.0761504174775567,1799,323,121,506,685,466,302,413
99,3.107539707451817,1799,323,121,506,685,466,302,413
100,3.138928997426078,1799,323,121,506,685,466,302,413
101,3.170318287400339,1799,323,121,506,685,466,302,413
102,3.2017075773745995,1799,323,121,506,685,466,302,413
103,3.2330968673488605,1799,323,121,506,685,466,302,413
104,3.2644861573231214,1799,323,121,506,685,466,302,413
105,3.295875447297382,1799,323,121,506,685,466,302,413
106,3.327264737271643,1799,323,121,506,685,466,302,413
107,3.358654027245904,1799,323,121,506,685,466,302,413
108,3.3900433172201643,1799,323,121,506,685,466,302,413
109,3.421432607194425,1799,323,121,506,664,434,331,461
110,3.452821897168686,1799,323,121,506,672,448,179,447
111,3.4842111871429466,1799,323,121,506,672,448,179,447
112,3.5156004771172076,1799,323,121,506,677,458,403,438
113,3.5469897670914685,1799,323,121,506,683,387,240,508
114,3.578379057065729,803,388,321,692,689,625,217,271
115,3.60976834703999,713,402,424,506,689,625,217,271
116,3.641157637014251,713,402,424,506,689,625,217,271
117,3.6725469269885114,713,402,424,506,689,625,217,271
118,3.7039362169627723,713,402,424,506,689,625,217,271
119,3.735325506937033,713,402,424,506,689,625,217,271
120,3.7667147969112937,713,402,424,506,689,625,217,271
121,3.7981040868855547,713,402,424,506,689,625,217,271
122,3.829493376859815,713,402,424,506,689,625,217,271
123,3.860882666834076,713,402,424,506,689,625,217,271
124,3.892271956808337,713,402,424,506,689,625,217,271
125,3.9236612467825975,713,402,424,506,689,625,217,271
126,3.9550505367568585,713,402,424,506,689,625,217,271
127,3.9864398267311194,713,402,424,506,689,625,217,271
128,4.01782911670538,713,402,424,506,689,625,217,271
129,4.049218406679641,713,402,424,506,689,625,217,271
130,4.080607696653901,713,402,424,506,689,625,217,271
131,4.111996986628163,713,402,424,506,689,625,217,271
132,4.143386276602423,713,402,424,506,689,625,217,271
133,4.174775566576684,713,402,424,506,689,625,217,271
134,4.206164856550945,713,402,424,506,689,625,217,271
135,4.237554146525206,713,402,424,506,689,625,217,271
136,4.268943436499466,713,402,424,506,689,625,217,271
137,4.300332726473727,713,402,424,506,689,625,217,271
138,4.331722016447988,713,402,424,506,689,625,217,271
139,4.363111306422248,713,402,424,506,689,625,217,271
140,4.39450059639651,713,402,424,506,689,625,217,271
141,4.42588988637077,713,402,424,506,689,625,217,271
142,4.457279176345031,713,402,424,506,689,625,217,271
143,4.488668466319292,713,402,424,506,689,625,217,271
144,4.520057756293553,713,402,424,506,689,625,217,271
145,4.551447046267813,851,111,443,724,689,625,217,271
146,4.5828363362420745,851,111,443,724,689,625,217,271
147,4.614225626216335,851,111,443,724,689,625,217,271
148,4.6456149161905955,446,97,804,797,689,625,217,271
149,4.677004206164857,446,77,807,834,1123,139,438,566
150,4.708393496139117,446,77,807,834,1123,139,438,566
151,4.739782786113378,587,78,1042,1002,1123,139,438,566
152,4.771172076087638,587,78,1042,1002,1123,139,438,566
153,4.8025613660619,672,912,473,168,715,79,896,825
154,4.83395065603616,672,912,473,168,715,79,896,825
155,4.865339946010421,672,912,473,168,715,79,896,825
156,4.896729235984682,672,912,473,168,715,79,896,825
157,4.928118525958943,771,320,269,575,936,229,589,667
158,4.959507815933203,693,251,408,648,1039,276,198,441
159,4.9908971059074645,693,251,408,648,1039,276,198,441
160,5.022286395881725,721,153,598,742,1155,665,365,231
161,5.0536756858559855,721,153,598,742,1155,665,365,231
162,5.085064975830247,721,153,598,742,1155,665,365,231
163,5.116454265804507,681,112,351,797,966,62,609,829
164,5.147843555778768,681,112,351,797,966,62,609,829
165,5.179232845753029,642,947,327,133,966,62,609,829
166,5.21062213572729,838,64,395,881,1356,386,351,569
167,5.24201142570155,838,64,395,881,1356,386,351,569
168,5.273400715675812,0,439,247,641,1356,386,351,569
169,5.304790005650072,0,439,247,641,1356,386,351,569
170,5.336179295624333,0,439,247,641,1356,386,351,569
171,5.367568585598594,0,378,468,702,1356,386,351,569
172,5.3989578755728544,0,378,468,702,1356,386,351,569
173,5.430347165547115,0,378,468,702,1356,386,351,569
174,5.461736455521376,0,302,315,778,115,432,333,464
175,5.493125745495637,0,302,315,778,115,432,333,464
176,5.524515035469897,1440,269,338,811,1134,5,394,891
177,5.555904325444159,1440,269,338,811,1134,5,394,891
178,5.587293615418419,1440,269,338,811,1134,5,394,891
179,5.61868290539268,1440,269,338,811,1315,349,273,325
180,5.650072195366941,1440,269,338,811,1315,349,273,325
181,5.6814614853412015,1440,269,338,811,1315,349,273,325
182,5.712850775315462,1440,269,338,811,1315,349,273,325
183,5.744240065289723,1440,269,338,811,1315,349,273,325
184,5.775629355263984,1440,269,338,811,1315,349,273,325
185,5.807018645238244,1440,269,338,811,1315,349,273,325
186,5.838407935212506,1440,269,338,811,1315,349,273,325
187,5.869797225186766,1440,269,338,811,1300,401,345,337
188,5.901186515161027,1440,269,338,811,1103,314,507,450
189,5.932575805135288,1440,269,338,811,1103,314,507,450
190,5.963965095109549,1440,269,338,811,1103,316,448,428
191,5.995354385083809,1440,269,338,811,1103,316,448,428
192,6.0267436750580705,1440,269,338,811,1103,316,448,428
193,6.058132965032331,1196,329,340,377,490,377,409,325
194,6.0895222550065915,1249,341,253,351,486,366,312,335
195,6.120911544980852,1206,397,288,285,482,355,295,351
196,6.152300834955113,1200,416,337,276,480,343,259,364
197,6.183690124929374,1200,416,337,276,480,343,259,364
198,6.215079414903634,1200,416,337,276,480,343,259,364
199,6.246468704877896,1200,416,337,276,480,343,259,364
200,6.277857994852156,1200,416,337,276,480,343,259,364
201,6.309247284826417,1200,416,337,276,480,343,259,364
202,6.340636574800678,1200,416,337,276,325,275,400,542
203,6.372025864774939,1200,416,337,276,325,275,400,542
204,6.403415154749199,1200,416,337,276,325,275,400,542
205,6.4348044447234605,1200,416,337,276,325,275,400,542
206,6.466193734697721,1200,416,337,276,325,275,400,542
207,6.4975830246719815,1146,278,265,397,348,246,456,446
208,6.528972314646243,1146,278,265,397,348,246,456,446
209,6.560361604620503,1146,278,265,397,348,246,456,446
210,6.591750894594764,1146,278,265,397,348,246,456,446
211,6.623140184569025,1146,278,265,397,348,246,456,446
212,6.654529474543286,1119,272,307,460,62,235,613,114
213,6.685918764517546,1119,272,307,460,62,235,613,114
214,6.717308054491808,1110,320,325,375,62,235,613,114
215,6.748697344466068,1110,320,325,375,62,235,613,114
216,6.7800866344403286,1110,320,325,375,62,235,613,114
217,6.81147592441459,1110,320,325,375,62,235,613,114
218,6.84286521438885,1110,320,325,375,62,235,613,114
219,6.874254504363111,999,263,352,489,347,232,370,585
220,6.905643794337372,999,263,352,489,347,232,370,585
221,6.937033084311633,899,269,492,303,347,232,370,585
222,6.968422374285893,899,269,492,303,352,368,327,322
