frame,time_sec,L_x,L_y,L_w,L_h,R_x,R_y,R_w,R_h
0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
1,0.031389289974260784,-1,-1,-1,-1,-1,-1,-1,-1
2,0.06277857994852157,-1,-1,-1,-1,-1,-1,-1,-1
3,0.09416786992278235,-1,-1,-1,-1,-1,-1,-1,-1
4,0.12555715989704314,-1,-1,-1,-1,-1,-1,-1,-1
5,0.1569464498713039,-1,-1,-1,-1,-1,-1,-1,-1
6,0.1883357398455647,-1,-1,-1,-1,841,658,1079,422
7,0.21972502981982547,198,258,636,671,659,477,1261,603
8,0.25111431979408627,198,258,636,671,659,477,1261,603
9,0.28250360976834704,214,240,724,683,991,473,929,603
10,0.3138928997426078,214,240,724,683,991,473,929,603
11,0.3452821897168686,467,0,359,636,804,651,1116,429
12,0.3766714796911294,467,0,359,636,232,231,1688,849
13,0.4080607696653902,468,53,483,428,232,231,1688,849
14,0.43945005963965095,333,368,631,555,232,231,1688,849
15,0.4708393496139117,333,368,631,555,232,231,1688,849
16,0.5022286395881725,333,368,631,555,232,231,1688,849
17,0.5336179295624333,333,368,631,555,232,231,1688,849
18,0.5650072195366941,511,141,372,499,232,231,1688,849
19,0.5963965095109548,511,141,372,499,232,231,1688,849
20,0.6277857994852156,511,141,372,499,232,231,1688,849
21,0.6591750894594764,306,435,671,485,232,231,1688,849
22,0.6905643794337372,306,435,671,485,232,231,1688,849
23,0.721953669407998,306,435,671,485,232,231,1688,849
24,0.7533429593822588,306,435,671,485,232,231,1688,849
25,0.7847322493565195,451,464,484,387,913,549,633,382
26,0.8161215393307804,277,432,733,489,913,549,633,382
27,0.8475108293050411,277,432,733,489,913,549,633,382
28,0.8789001192793019,277,432,733,489,913,549,633,382
29,0.9102894092535627,277,432,733,489,913,549,633,382
30,0.9416786992278234,221,366,609,528,1125,584,560,326
31,0.9730679892020843,221,366,609,528,1125,584,560,326
32,1.004457279176345,221,366,609,528,1125,584,560,326
33,1.0358465691506058,221,366,609,528,1125,584,560,326
34,1.0672358591248665,221,366,609,528,808,492,488,162
35,1.0986251490991275,221,366,609,528,808,492,488,162
36,1.1300144390733882,221,366,609,528,808,492,488,162
37,1.1614037290476489,221,366,609,528,808,492,488,162
38,1.1927930190219096,221,366,609,528,808,492,488,162
39,1.2241823089961705,221,366,609,528,808,492,488,162
40,1.2555715989704312,221,366,609,528,808,492,488,162
41,1.286960888944692,221,366,609,528,808,492,488,162
42,1.318350178918953,221,366,609,528,808,492,488,162
43,1.3497394688932136,221,366,609,528,808,492,488,162
44,1.3811287588674743,221,366,609,528,808,492,488,162
45,1.4125180488417353,221,366,609,528,808,492,488,162
46,1.443907338815996,221,366,609,528,808,492,488,162
47,1.4752966287902567,221,366,609,528,808,492,488,162
48,1.5066859187645176,221,366,609,528,808,492,488,162
49,1.5380752087387783,221,366,609,528,808,492,488,162
50,1.569464498713039,221,366,609,528,808,492,488,162
51,1.6008537886872998,221,366,609,528,808,492,488,162
52,1.6322430786615607,221,366,609,528,808,492,488,162
53,1.6636323686358214,221,366,609,528,808,492,488,162
54,1.6950216586100821,221,366,609,528,808,492,488,162
55,1.726410948584343,221,366,609,528,808,492,488,162
