clip,fps,frames_used,first_action,first_action_time_sec,L_peak,R_peak,threshold,sustain_frames,smooth_win
seg_01_7.0s_f464-687_stab,31.858,223,unknown,,0.14203048480951394,0.1681171953194568,18.0,8,7
seg_02_6.1s_f1027-1221_stab,31.858,194,unknown,,0.25117559907218306,0.25193032362180134,18.0,8,7
